manufacturer,ship_name,canonical_id,source_entity_class,rsi_image_url,coverage_status,match_method,notes
Aegis Dynamics,Aegis Hammerhead 2949 Best In Show Edition,AEGS_Hammerhead_Showdown,AEGS_Hammerhead_Showdown,,FALLBACK,UNMATCHED,
Aegis Dynamics,Aegis Idris-M,AEGS_Idris_M,AEGS_Idris_M,"https://robertsspaceindustries.com/i/e2ecd14ea7c53b404982a902d8fbca0e3020833c/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAZ49bpw6FiNoWgDAsBUvHcwx6yVRbszrCgE)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Idris-P,AEGS_Idris_P,AEGS_Idris_P,"https://robertsspaceindustries.com/i/6e168e351f1e7634bec6f35fb73dca2d8b4ca900/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqY6z7TSDPHadnqPCeZCNtvaR4zHv7pkE)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Idris-P Wikelo War Special,AEGS_Idris_P_Collector_Military,AEGS_Idris_P_Collector_Military,,FALLBACK,UNMATCHED,
Aegis Dynamics,Aegis Javelin,AEGS_Javelin,AEGS_Javelin,,FALLBACK,UNMATCHED,
Aegis Dynamics,Aegis Reclaimer,AEGS_Reclaimer,AEGS_Reclaimer,"https://robertsspaceindustries.com/i/968b9b8cae35fba622a5356ee403a3db70f69db1/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjkHit9pz2hMMvi7EmNgpfzTX1oMBWhjF4)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Reclaimer 2949 Best In Show Edition,AEGS_Reclaimer_Showdown,AEGS_Reclaimer_Showdown,,FALLBACK,UNMATCHED,
Aegis Dynamics,Aegis Redeemer,AEGS_Redeemer,AEGS_Redeemer,"https://robertsspaceindustries.com/i/fe03b51830cefdc04ea512f9b6887837d02a52a6/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAtr4dce6zL9JH9YZyXwhA4VkD1n3fdHWi5t)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Retaliator,AEGS_Retaliator,AEGS_Retaliator,"https://robertsspaceindustries.com/i/e144fa008ee25e0596a003a9a70815877984e0c9/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseMCHaZWGgAoXcaPG6EHiCXgT3ckecDpQe)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Sabre,AEGS_Sabre,AEGS_Sabre,"https://robertsspaceindustries.com/i/e780fce7b5bc3aef5d54ae873d1ae4ddbdadbbf6/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAZ7nnvLVtpHFMFWL7o7nMwTrRFj5ZVqWmvn)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Sabre Comet,AEGS_Sabre_Comet,AEGS_Sabre_Comet,"https://robertsspaceindustries.com/i/e0ba58229607b2f143a3413a60a115b37f154bda/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResejaqZiWqzJk1v9rhSh93faaUuRM5WPM98)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Sabre Firebird,AEGS_Sabre_Firebird,AEGS_Sabre_Firebird,"https://robertsspaceindustries.com/i/c8b1528bc54295f637a01cdefed3c0636abb3760/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjUDiEYSBALs6yedyxGzGSVc2cmH9NMTQS)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Sabre Peregrine,AEGS_Sabre_Peregrine,AEGS_Sabre_Peregrine,"https://robertsspaceindustries.com/i/ab19d87116cec68ccd59e321cf45e26c5de1e0ae/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResf1BKnZCNwtwtiEVV4sdSVRU8ypLsXQNGN)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Sabre Raven,AEGS_Sabre_Raven,AEGS_Sabre_Raven,"https://robertsspaceindustries.com/i/738cdf85d3ba335a9eb36f68bfcba3ab285bdb65/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskj9tqz5VHxzzGrtiDrYNzZN8B6WcAmTHG)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Tiburon,AEGS_Tiburon,AEGS_Tiburon,"https://robertsspaceindustries.com/i/5034074196874f129f3ff25d93d39d678b8de317/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqmGWrWP9M7s4Xy6L8YgJQs18r4iARWYW)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Vanguard Harbinger,AEGS_Vanguard_Harbinger,AEGS_Vanguard_Harbinger,"https://robertsspaceindustries.com/i/5827d64995a2ea3f3e1418641f5570b8a1043612/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1xF7q7jf7jd79bnxNkSizmEWjeHmN7wC)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Vanguard Hoplite,AEGS_Vanguard_Hoplite,AEGS_Vanguard_Hoplite,"https://robertsspaceindustries.com/i/ddf87a3557d7974de14f100d5290431cc52f23f7/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskMz76vuAhBK7HF2Vi7XtMGa1Y7NERvKjt)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Vanguard Sentinel,AEGS_Vanguard_Sentinel,AEGS_Vanguard_Sentinel,"https://robertsspaceindustries.com/i/7cfa103b8d285fe680502316fdb6684a208e87a2/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskTR6eaJfWreJS6tkpbG1L52GU8WeW2bfk)/source.webp",REGISTRY,NORMALIZED_NAME,
Aegis Dynamics,Aegis Vanguard Warden,AEGS_Vanguard,AEGS_Vanguard,"https://robertsspaceindustries.com/i/9e22a6d48ab6e41700b03715bdff21f3944596f3/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskkCoaQ3hcYZfVfuw4ru7sC7dzNvKsbGXG)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil,F7C-S Hornet Ghost Mk II,ghost,ghost,"https://robertsspaceindustries.com/i/5bd5643f5e6da6ee50f799fc5dcbe7e5e752a7cb/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskP9BJt5yvdnBYhrcDfrunYJdqg3dVC6yC)/source.webp",REGISTRY,EXACT_NAME,
Anvil,Valkyrie,valkyrie-imported,ANVL_Valkyrie,"https://robertsspaceindustries.com/i/33c4ee2869dcf9490841df1d6968eed5d94ef5f9/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqctMmTYuX6sFTZyNbv2gpmbPFTbA9Sna)/source.webp",REGISTRY,EXACT_NAME,
Anvil Aerospace,Anvil Arrow,ANVL_Arrow,ANVL_Arrow,"https://robertsspaceindustries.com/i/9861febc81cadf49dfe3010d59d270f64385c6b6/resize(910,512,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjUCY424inopgLKcxbZLVecByFWiDge1gS)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Asgard,ANVL_Asgard,ANVL_Asgard,"https://robertsspaceindustries.com/i/5c0b5f9604975d406c9c80c8facbad95ee5a0328/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjHqQ7nzeWKNJC9PZ799uzA3LV8x15ssJv)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Asgard Wikelo War Special,ANVL_Asgard_Collector_Military,ANVL_Asgard_Collector_Military,,FALLBACK,UNMATCHED,
Anvil Aerospace,Anvil Ballista,ANVL_Ballista,ANVL_Ballista,"https://robertsspaceindustries.com/i/59380523fbb44b1043c4fc6b8a8e759126426dab/resize(910,512,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj76XQUHMro7sbhMTSrhqtrQngyMgUY8aA)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Ballista Dunestalker,ANVL_Ballista_Dunestalker,ANVL_Ballista_Dunestalker,"https://robertsspaceindustries.com/i/b6fafae5fe1697a5f3d63e7bcf02dea92d0b9580/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResepggfGANFwtEiekpujA3ovgLW8UYAZKjk)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Ballista Snowblind,ANVL_Ballista_Snowblind,ANVL_Ballista_Snowblind,"https://robertsspaceindustries.com/i/42b74db93a9d6c96407a15009a7f59c5f6faa6b6/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseukDF2naM9B1uvYiDLtHy9cckjh49ysQA)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil C8 Pisces,ANVL_C8_Pisces,ANVL_C8_Pisces,"https://robertsspaceindustries.com/i/9b1cff335e849bd1e463a1c8dcf28ec24fcb2fab/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResf1XNoTVqU1sjNSW7iPXBbXMdQEtc1QnwY)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil C8R Pisces Rescue,ANVL_C8R_Pisces,ANVL_C8R_Pisces,"https://robertsspaceindustries.com/i/33e033b9d65161a39ee2ed496c9ac2771427231e/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjYUpdwY9hHjEgqpaExZb84z9p1hR5FWNa)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil C8X Pisces Expedition,ANVL_C8X_Pisces_Expedition,ANVL_C8X_Pisces_Expedition,"https://robertsspaceindustries.com/i/69de38cb76d9cf625fa4ec27ba9bf741e6598e32/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjZbCSUWdnfpmEffJvwzU9skusSz6GzjN6)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Carrack,ANVL_Carrack,ANVL_Carrack,"https://robertsspaceindustries.com/i/5a176dc57589f18effd841146ef5a37e88892aee/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResijpd9a1QppWGLqGr3g6nG4GJrw2mPpW4n)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Carrack Expedition,ANVL_Carrack_Expedition,ANVL_Carrack_Expedition,"https://robertsspaceindustries.com/i/9758689a17eb21a85421ebe1747bc2e330615d33/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjCZuJSam4DYUukYVVwnHutdWNoyhkiTan)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Centurion,ANVL_Centurion,ANVL_Centurion,"https://robertsspaceindustries.com/i/a4a0559e83591728407a892cd21076bfc8982d88/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskZee9JyWzsJsLzWu91ohmowddjhZycyVx)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7 Hornet Mk Wikelo,ANVL_Hornet_F7_Mk2_Collector_Mod,ANVL_Hornet_F7_Mk2_Collector_Mod,,FALLBACK,UNMATCHED,
Anvil Aerospace,Anvil F7A Hornet Mk I,ANVL_Hornet_F7A_Mk1,ANVL_Hornet_F7A_Mk1,"https://robertsspaceindustries.com/i/f15e5590de4a42e91d0420c0fd35ac9c2ddd1284/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskkAdsM4dYUGutPpApkPRWMrv52kvU1drn)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7A Hornet Mk II,ANVL_Hornet_F7A_Mk2,ANVL_Hornet_F7A_Mk2,"https://robertsspaceindustries.com/i/ad0b2e0535e7eda9930c02e5e6338662bf417587/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj6zVVifHuf91B5XFQeSL3dKEdS5ru95An)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C Hornet Mk I,ANVL_Hornet_F7C,ANVL_Hornet_F7C,"https://robertsspaceindustries.com/i/d7d165311c3e267b58c8e29713b0520de4708c0f/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskP3AFfH3teR68rmh57wSBzmTxzMu3g72W)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C Hornet Mk II,ANVL_Hornet_F7C_Mk2,ANVL_Hornet_F7C_Mk2,"https://robertsspaceindustries.com/i/11898460f6c81a86b36767241e96326ebd7e300f/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjHymPx8r84PH9pB8dHUfSKxtsuxz3EFJE)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C Hornet Wildfire Mk I,ANVL_Hornet_F7C_Wildfire,ANVL_Hornet_F7C_Wildfire,"https://robertsspaceindustries.com/i/9e720b90e0d17ff716543629745c48085120ccd9/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseBrnAkkqry6NTco89YXxm7fiVePXmeG14)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C-M Hornet Heartseeker Mk I,ANVL_Hornet_F7CM_Heartseeker,ANVL_Hornet_F7CM_Heartseeker,"https://robertsspaceindustries.com/i/1aae6c5e3cd205797eda041b6dd4085032b8753d/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResejFhFPaJXW9eWYg4EZ3DiiLfiG1H94aZC)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C-M Hornet Heartseeker Mk II,ANVL_Hornet_F7CM_Mk2_Heartseeker,ANVL_Hornet_F7CM_Mk2_Heartseeker,,FALLBACK,UNMATCHED,
Anvil Aerospace,Anvil F7C-M Super Hornet Mk I,ANVL_Hornet_F7CM,ANVL_Hornet_F7CM,"https://robertsspaceindustries.com/i/2bbd77da2b242dd2cc680b8dc693077b59308cf7/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResk22sDRRcjwtCehpyXnJhVE7ySLtuC3NMk)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C-M Super Hornet Mk II,ANVL_Hornet_F7CM_Mk2,ANVL_Hornet_F7CM_Mk2,"https://robertsspaceindustries.com/i/aa2b3c767c2555caa89b0a0239aca9e63ef07a23/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResedtCVBuvj4aJo1EBhKirGcWN1xxtKGk8n)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C-R Hornet Tracker Mk I,ANVL_Hornet_F7CR,ANVL_Hornet_F7CR,"https://robertsspaceindustries.com/i/394b0101f3512d3b7b6414a6cf0ed3949fc1586a/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResijzE5e7KeCMw6zgFK6GYuS3kkyJqzYiNz)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C-R Hornet Tracker Mk II,ANVL_Hornet_F7CR_Mk2,ANVL_Hornet_F7CR_Mk2,"https://robertsspaceindustries.com/i/2198f6c499469932595835e2d8847d6196b4d891/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseoZyePfkFJQygvJqE4MocwJAuyLYM1rKG)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F7C-S Hornet Ghost Mk I,ANVL_Hornet_F7CS,ANVL_Hornet_F7CS,"https://robertsspaceindustries.com/i/0dcd4d70d94dfe410df8936aa36b86c0dfcd26af/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjqHwXyzcPtQGAhaia7uvJdKpyzo2kq9x2)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F8A Lightning,ANVL_Lightning_F8,ANVL_Lightning_F8,,FALLBACK,UNMATCHED,
Anvil Aerospace,Anvil F8C Lightning,ANVL_Lightning_F8C,ANVL_Lightning_F8C,"https://robertsspaceindustries.com/i/dbe4048cfde01b6851a2dc6b5a3403139c9aa3ef/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjTEWFCBvRCcApL8QwcPy9mPPcUhEbyN9c)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F8C Lightning Executive Edition,ANVL_Lightning_F8C_Exec,ANVL_Lightning_F8C_Exec,"https://robertsspaceindustries.com/i/8e770bb627baa3ab6dab4683473c7db2b769175c/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1tdKsNBxg7ivkDmyZXdWKvjJ53ZZT9jt)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil F8C Lightning Wikelo Sneak Special,ANVL_Lightning_F8C_Collector_Stealth,ANVL_Lightning_F8C_Collector_Stealth,,FALLBACK,UNMATCHED,
Anvil Aerospace,Anvil F8C Lightning Wikelo War Special,ANVL_Lightning_F8C_Collector_Military,ANVL_Lightning_F8C_Collector_Military,,FALLBACK,UNMATCHED,
Anvil Aerospace,Anvil Gladiator,ANVL_Gladiator,ANVL_Gladiator,"https://robertsspaceindustries.com/i/24c3aeaad34e328fac28c068188be4d2be8485ea/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAz62LgThdv7L26Mnnv9U1c1Ci2MqadbqDiE)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Hawk,ANVL_Hawk,ANVL_Hawk,"https://robertsspaceindustries.com/i/5f4d482dbcafa31057856651b99bb9121bb2dc7b/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqofk6iAEkXWjQtqfG1dYTrB2yze2VMN6)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Hurricane,ANVL_Hurricane,ANVL_Hurricane,"https://robertsspaceindustries.com/i/41d76881a5a0bb0ac3f6500a2ee18c661089f92d/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskGn8CGG5chJtVrZgvDP76ztQKVMaPHKiN)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Paladin,ANVL_Paladin,ANVL_Paladin,"https://robertsspaceindustries.com/i/8e8ccf69652bbd98c01d29a4028e4978919c1fee/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResee2dEjRP4VR3V37tM6e6iSziURZYpVtxN)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Spartan,ANVL_Spartan,ANVL_Spartan,"https://robertsspaceindustries.com/i/caec1a43fe808311ca492c51002e9a3bf585393c/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1kD3WpJBNCfd4f5GV9y4U6tFzGqUJY7Q)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Terrapin,ANVL_Terrapin,ANVL_Terrapin,"https://robertsspaceindustries.com/i/e226b9dfb09a0db6118b9793e84d91f7c396ce6b/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResipCJvtQrx1nD2gTpcswfhjvPdK8qy1NUN)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Terrapin Medic,ANVL_Terrapin_Medic,ANVL_Terrapin_Medic,"https://robertsspaceindustries.com/i/aadfc2da19a89ba896cc52e26bb07bfcc1ae5189/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjHj8xR4rP6MGNoTFJM2eRJvjY1XGnBt9k)/source.webp",REGISTRY,NORMALIZED_NAME,
Anvil Aerospace,Anvil Terrapin Medic Wikelo Savior Special,ANVL_Terrapin_Medic_Collector_Medic,ANVL_Terrapin_Medic_Collector_Medic,,FALLBACK,UNMATCHED,
Anvil Aerospace,Anvil Valkyrie Liberator,ANVL_Valkyrie_CitizenCon,ANVL_Valkyrie_CitizenCon,"https://robertsspaceindustries.com/i/35890a10d28f48ee48a3662fe44697fa08e17ec5/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResipDVsZUErD1PF6m8zJLeFU1yVUBqCgsRg)/source.webp",REGISTRY,NORMALIZED_NAME,
Aopoa,Aopoa Khartu-al,XIAN_Scout,XIAN_Scout,"https://robertsspaceindustries.com/i/ae9dcbe03c30fbba78b1b90d9933894c54cd6986/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskvn8skBeKZhhvnJJ7SbDADp1YRPHK4jLS)/source.webp",REGISTRY,NORMALIZED_NAME,
